movie_title,year,place,star_cast,rating,vote,link
Before Sunrise,1995,193,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.077872391967826,,/title/tt0112471/
Catch Me If You Can,2002,194,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.076826616318893,,/title/tt0264464/
To Be or Not to Be,1942,195,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.076809889177985,,/title/tt0035446/
Persona,1966,196,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.076444516609385,,/title/tt0060827/
Ford v Ferrari,2019,197,"James Mangold (dir.), Matt Damon, Christian Bale",8.074815229253092,,/title/tt1950186/
The General,1926,198,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.071935447296928,,/title/tt0017925/
How to Train Your Dragon,2010,199,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.071759514059368,,/title/tt0892769/
Prisoners,2013,200,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.070854943332545,,/title/tt1392214/
Sherlock Jr,1924,201,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.070131734740409,,/title/tt0015324/
Mr Smith Goes to Washington,1939,202,"Frank Capra (dir.), James Stewart, Jean Arthur",8.068821980105715,,/title/tt0031679/
12 Years a Slave,2013,203,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.064906046412615,,/title/tt2024544/
Barry Lyndon,1975,204,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.060924222420416,,/title/tt0072684/
Mad Max: Fury Road,2015,205,"George Miller (dir.), Tom Hardy, Charlize Theron",8.060876450536625,,/title/tt1392190/
Stand by Me,1986,206,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.057602283166878,,/title/tt0092005/
Network,1976,207,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.05745881213237,,/title/tt0074958/
Cool Hand Luke,1967,208,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.057181082045814,,/title/tt0061512/
Million Dollar Baby,2004,209,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.056333521875683,,/title/tt0405159/
Into the Wild,2007,210,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.053510535370688,,/title/tt0758758/
Hachi: A Dog's Tale,2009,211,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.053150957153958,,/title/tt1028532/
Le salaire de la peur,1953,212,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.052700145543739,,/title/tt0046268/
Ben-Hur,1959,213,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.052467177779837,,/title/tt0052618/
Dead Poets Society,1989,214,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.051535269752097,,/title/tt0097165/
Platoon,1986,215,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.051485841462233,,/title/tt0091763/
Life of Brian,1979,216,"Terry Jones (dir.), Graham Chapman, John Cleese",8.051051762559146,,/title/tt0079470/
Harry Potter and the Deathly Hallows: Part 2,2011,217,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.050538645084826,,/title/tt1201607/
Du rififi chez les hommes,1955,218,"Jules Dassin (dir.), Jean Servais, Carl Möhner",8.050124619498142,,/title/tt0048021/
Logan,2017,219,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.04974656077235,,/title/tt3315342/
Rush,2013,220,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.04968424965836,,/title/tt1979320/
La passion de Jeanne d'Arc,1928,221,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.04526233871022,,/title/tt0019254/
Ah-ga-ssi,2016,222,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",8.043932098701054,,/title/tt4016934/
Les quatre cents coups,1959,223,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.043641104135283,,/title/tt0053198/
Andrei Rublev,1966,224,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",8.042975526191094,,/title/tt0060107/
Hotel Rwanda,2004,225,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.042549873520136,,/title/tt0395169/
Amores perros,2000,226,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.04098274383615,,/title/tt0245712/
Spotlight,2015,227,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.040699838597218,,/title/tt1895587/
Rang De Basanti,2006,228,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",8.0383715357364,,/title/tt0405508/
Kaze no tani no Naushika,1984,229,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",8.036881279415493,,/title/tt0087544/
Rocky,1976,230,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.034739456216215,,/title/tt0075148/
La haine,1995,231,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.033934425779346,,/title/tt0113247/
Rebecca,1940,232,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.031848599149532,,/title/tt0032976/
"Monsters, Inc",2001,233,"Pete Docter (dir.), Billy Crystal, John Goodman",8.0318185123715,,/title/tt0198781/
Gangs of Wasseypur,2012,234,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",8.028982013222379,,/title/tt1954470/
Portrait de la jeune fille en feu,2019,235,"Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel",8.023268659159074,,/title/tt8613070/
The Circus,1928,236,"Charles Chaplin (dir.), Charles Chaplin, Merna Kennedy",8.021273778020362,,/title/tt0018773/
It Happened One Night,1934,237,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.01871914574193,,/title/tt0025316/
Before Sunset,2004,238,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.018044973542489,,/title/tt0381681/
Fa yeung nin wah,2000,239,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",8.017395379897277,,/title/tt0118694/
"Paris, Texas",1984,240,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",8.01565896154826,,/title/tt0087884/
Drishyam,2015,241,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran",8.014152784693104,,/title/tt4430212/
The Help,2011,242,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.012468369945925,,/title/tt1454029/
Contratiempo,2016,243,"Oriol Paulo (dir.), Mario Casas, Ana Wagener",8.012098089668727,,/title/tt4857264/
The Princess Bride,1987,244,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",8.011929638689331,,/title/tt0093779/
The Terminator,1984,245,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.00905726646497,,/title/tt0088247/
La battaglia di Algeri,1966,246,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.007262121637853,,/title/tt0058946/
"Swades: We, the People",2004,247,"Ashutosh Gowariker (dir.), Shah Rukh Khan, Gayatri Joshi",8.00723974094756,,/title/tt0367110/
Hera Pheri,2000,248,"Priyadarshan (dir.), Akshay Kumar, Sunil Shetty",8.00687211044878,,/title/tt0242519/
Chak De! India,2007,249,"Shimit Amin (dir.), Shah Rukh Khan, Vidya Malvade",8.006849526314637,,/title/tt0871510/
Lagaan: Once Upon a Time in India,2001,250,"Ashutosh Gowariker (dir.), Aamir Khan, Raghuvir Yadav",8.006724505409432,,/title/tt0169102/
